Section,Level,Question,Option A,Option B,Option C,Option D,Correct Answer
Gen AI,junior,"In generative AI, an eval pitfall is scoring a system by:",Held-out gold answers for the actual task,"Whether the model’s own prose says the answer “looks good,” with no task labels",Retrieval recall on a labeled corpus,Agreement with a blinded human rubric,B
Gen AI,junior,"In generative AI, context-window cost grows with:",Only the number of user accounts,"Input and generated tokens the model processes (and, with attention, interactions among them)","Only images, never text",The number of CPU cores on the client laptop,B
Gen AI,junior,"In generative AI, prefer RAG over fine-tuning when:",You only need a new output JSON schema once,Facts live in documents that change and must be citable,You want to avoid embeddings and search entirely,You cannot write a system prompt,B
Gen AI,junior,"In generative AI, prefer changing the prompt over fine-tuning when:",You must bake a huge private corpus into weights,"The task, format, and constraints can be stated in the input",You need a new tokenizer,You want to skip evaluation,B
Gen AI,junior,"In generative AI, prompt injection is:",A GPU memory allocator bug,Untrusted text in context that tries to override the developer’s instructions,Setting temperature above 1,Using too many few-shot examples,B
Gen AI,junior,"In generative AI, putting more text into the context window mainly costs you:",Only local disk space on the client,"Compute, latency, and usually money for every token the model must process",Nothing; unused prompt tokens are free,Only the number of words in the final answer,B
Gen AI,junior,"In generative AI, temperature in decoding mainly controls:",How many tokens fit in the context window,How peaked versus flat the next-token sampling distribution is,The tokenizer vocabulary size,Whether retrieved documents are allowed,B
Gen AI,junior,"In generative AI, temperature near zero typically:",Samples more often from the long tail of tokens,Makes decoding more deterministic by favoring the highest-probability tokens,Expands the context window,Guarantees factually correct answers,B
Gen AI,junior,"In generative AI, which mapping is most accurate?",Fine-tune: changing daily prices; RAG: tone of voice; prompt: new weights,"Prompt: task framing; RAG: updatable external facts; fine-tune: style, format, or domain language in weights",RAG: never use documents; prompt: train for weeks,Fine-tune: cheapest way to add one new fact tonight,B
Gen AI,junior,"In generative AI, why are tokens not the same as words?",Billing is always one token per English word,"Tokenizers split text into subword pieces; counts vary by language, code, and punctuation",One token is always one Unicode character,Whitespace is never assigned a token,B
Gen AI,junior,"In generative AI, you raise temperature on a support bot that must return a JSON schema. What usually gets worse?",Diversity of facts with tighter schema following.,"Stability: more sampling randomness, more malformed JSON and drift from the schema.","Latency, because temperature adds network hops.",Nothing; temperature only affects image models.,B
Gen AI,junior,Why do next-token language models hallucinate?,They query a verified world model before every token,"They sample locally likely continuations, which can be fluent and still false",They are forbidden from producing any string not seen in training,"They only copy documents verbatim, so they cannot invent",B
Java,junior,"In Java, a thread pool uses an unbounded LinkedBlockingQueue. Tasks pile up faster than workers. What fails first in production?",execute() throws RejectedExecutionException immediately.,The queue grows until the JVM hits memory pressure / OOM; latency explodes before you see rejections.,The pool silently drops tasks older than one second.,The JVM resizes the pool to Integer.MAX_VALUE workers.,B
Java,junior,"In Java, why is `synchronized (this)` on a public method a brittle API choice?",It is ignored by the JIT.,Callers can lock on the same instance and deadlock with you; you leaked the lock identity.,synchronized cannot be used on instance methods.,"It always takes a table lock in the JVM, blocking all threads in the process.",B
Java,junior,"In Java, you put a mutable class in a HashMap as a key, then mutate the field used by `hashCode`. What goes wrong?",HashMap rehashes the key automatically on mutation.,The entry can become lost: it sits in the old bucket while lookups use the new hash.,Java forbids mutating objects that have `hashCode` implemented.,"equals() is ignored once hashCode changes, but get() still works.",B
Kubernetes,junior,"Every object you kubectl apply is persisted where, and why does that become a cluster bottleneck?","etcd — it is the consistent store; watch fan-out, large objects, and write bursts all hit it",Each node's local disk only; the API server is stateless forever,The container runtime graph driver,CoreDNS zone files,A
Kubernetes,junior,"In Kubernetes, CPU limit is set to 100m, request to 100m. The process tries to use a full core. What do you observe?",CFS throttling — the container is not OOMKilled for CPU; it just runs slower in bursts,Immediate CrashLoopBackOff,The scheduler moves the pod to a bigger node mid-request,etcd rejects further status updates,A
Kubernetes,junior,"In Kubernetes, HPA and VPA solve different bottlenecks. Which pairing is right?",HPA adds/removes replica count; VPA changes CPU/memory requests (and optionally limits) on the pod,HPA resizes PVCs; VPA resizes Services,HPA tunes etcd compaction; VPA tunes kubelet GC,HPA and VPA are two names for the same controller,A
Kubernetes,junior,"In Kubernetes, a PodDisruptionBudget with minAvailable: 2 on a 3-replica app is mainly protecting you from what?",Voluntary disruptions such as node drains and rolling evictions going below 2 ready pods,OOMKills and kernel panics on the node,etcd quorum loss,Image pull failures from :latest,A
Kubernetes,junior,"In Kubernetes, a pod has no memory request/limit. A noisy neighbor on the node allocates RAM. What is the most typical outcome for your pod?",It is guaranteed CPU and memory by default.,It is BestEffort QoS and is first in line to be OOM-killed when the node is under memory pressure.,"The scheduler will never place it, so it stays Pending forever.",Kubernetes automatically copies limits from the node capacity.,B
Kubernetes,junior,"In Kubernetes, a pod is serving traffic correctly, but you wire the liveness probe to the same database health check as readiness. The database blips for 10 seconds. What happens?","kubelet kills the process and restarts the container, dropping in-flight work",Endpoints stay populated; only new connections are paused,The Deployment freezes rolling updates until the database recovers,kube-proxy retries the probe against a different replica,A
